Period,Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
2017-2018,36,37,38,113.2351274,143.6112734,Pocillopora,grow,none
2017-2018,37,38,41,47.08391514,73.99853141,Pocillopora,grow,none
2017-2018,38,39,42,584.9496592,684.0365055,Pocillopora,grow,none
2017-2018,39,40,40,0.670976896,30.26061364,Pocillopora,grow,none
2017-2018,40,41,46,71.74120516,89.81758934,Pocillopora_dead,grow,none
2017-2018,43,44,48,56.40205123,65.64020332,Pocillopora,grow,none
2017-2018,44,45,49,204.8523567,247.43495,Pocillopora,grow,none
2017-2018,46,47,44,13.50396547,187.931297,Pocillopora_dead,grow,none
2017-2018,54,56,61,18.22302152,44.58219333,Pocillopora,grow,none
2017-2018,55,58,63,101.6330037,117.6475781,Pocillopora,grow,none
2017-2018,56,59,64,152.0940211,323.3664281,Pocillopora,grow,fuse
2017-2018,59,62,71,64.89812954,92.07491559,Pocillopora,grow,none
2017-2018,60,63,70,136.5549071,176.2802942,Pocillopora,grow,none
2017-2018,61,64,812,87.93352177,158.8659998,Pocillopora,grow,none
2017-2018,62,65,72,271.1457627,340.3985767,Pocillopora,grow,none
2017-2018,56,68,64,145.7308495,323.3664281,Pocillopora,grow,fuse
2017-2018,66,71,82,166.3311732,209.1670492,Pocillopora,grow,none
2017-2018,68,73,80,225.7948343,267.2221031,Pocillopora,grow,none
2017-2018,71,76,87,315.2302778,953.2626522,Pocillopora,grow,fuse
2017-2018,72,78,88,344.2511394,378.9286473,Pocillopora,grow,none
2017-2018,75,81,89,52.30509297,123.6019426,Pocillopora,grow,none
2017-2018,76,82,85,26.24363937,72.78544073,Pocillopora,grow,none
2017-2018,78,84,96,86.82263287,126.2458582,Pocillopora,grow,none
2017-2018,79,85,95,247.7859909,385.8783683,Pocillopora,grow,none
2017-2018,80,86,98,164.6470656,218.8095649,Pocillopora,grow,none
2017-2018,71,91,87,451.8918303,953.2626522,Pocillopora,grow,fuse
2017-2018,85,92,106,38.34788483,216.8721746,Pocillopora,grow,none
2017-2018,86,93,110,404.3102369,452.6205734,Pocillopora,grow,none
2017-2018,87,94,100,42.72923065,81.83251993,Pocillopora,grow,none
2017-2018,88,95,113,79.0730719,115.6213167,Pocillopora,grow,none
2017-2018,89,96,125,351.7607484,376.7646358,Pocillopora,grow,none
2017-2018,90,97,112,44.84436312,69.24392691,Pocillopora_dead,grow,none
2017-2018,92,99,118,87.76466666,115.1502998,Pocillopora,grow,none
2017-2018,93,100,115,294.7188252,375.9914571,Pocillopora,grow,none
2017-2018,94,101,122,138.3812085,196.1874233,Pocillopora,grow,none
2017-2018,96,103,124,61.35661572,81.68588259,Pocillopora,grow,none
2017-2018,84,105,117,38.61449816,54.50020943,Pocillopora_dead,grow,none
